ID,name,region,Published,End
78,PUSD Facilities Maintenance Project at Greenville Elementary & Greenville Jr/Sr High Schools,California,2021-06-28,2021-07-01
79,Door Replacement Beshears and Juda Hall,Missouri,2021-06-28,2021-07-08
80,Plumas Unified School District (PUSD) Facilities Maintenance Project,California,2021-06-28,2021-06-30
81,To Provide Low Voltage and Network Cabling for the City of Torrance,California,2021-06-28,2021-07-07
82,Adult Residential Center Programs Building Boiler Replacement Project,Kansas,2021-06-28,2021-07-12
83,Compact Track Loader,Texas,2021-06-28,2021-07-13
84,Mineral Oil Tank Repainting,Nebraska,2021-06-28,2021-07-13
85,John Deere Tractor,Texas,2021-06-28,2021-07-12
86,GYM HVAC REPLACEMENTS,California,2021-06-28,2021-07-01
87,Transit Operations and Maintenance Services,California,2021-06-28,2021-07-12
88,EL PASO COUNTY HOSPITAL DISTRICT UMC Central Campus Design for Bulk Oxygen Enclosure Architectural Services,Texas,2021-06-28,2021-07-29
89,Four Activity Buses,Illinois,2021-06-28,2021-07-12
90,Municipal Facility Cleaning Services,Illinois,2021-06-28,2021-07-20
91,BIOMASS NUTRIENT REDUCTION REBID,Florida,2021-06-28,2021-07-12
92,Pest Control and Elimination Services,Wisconsin,2021-06-28,2021-09-15
93,CONS-HERALDCTRENO/1515 - Herald Court Renovation,Florida,2021-06-28,2021-07-20
94,RFP for Marketing Agency Partner,Wisconsin,2021-06-28,2021-07-09
95,Outside Counsel Services,Texas,2021-06-28,2021-07-06
96,Scope of Services for Project-Based Voucher Rental Assistance,Minnesota,2021-06-28,2021-07-02
97,"EQ-EBARAPUMP/1620 - Purchase of Ebara Pumps, Repairs & Services",Florida,2021-06-28,2021-06-30
98,EMERGENCY PROCUREMENT: SHC Rental Portable AC Units and Dehumidifiers,Texas,2021-06-28,2021-06-30
99,"RFC 381859-19-21-01 LIGHTING RENOVATION, ATLANTA DHQ",Texas,2021-06-28,2021-07-21
100,Appliance Repair Services for HHS Region 03,Texas,2021-06-28,2021-07-12
101,Green Bean Seeds,Texas,2021-06-28,2021-07-09
102,Tuttle & Baily Fan powered boxes for front Customer Entrance,Ohio,2021-06-28,2021-07-02
103,EW Weekly RFQ,New Mexico,2021-06-28,2021-06-30
104,Knoxville Co-Response Team,Tennessee,2021-06-28,2021-07-16
105,"Lubricants, Fluids, and Antifreeze",New Jersey,2021-06-28,2021-07-13
106,Mail Processing Unit Industrial Inserter,Illinois,2021-06-28,2021-07-22
107,PROFESSIONAL APPRAISAL SERVICES WALLING - GORDON,New Jersey,2021-06-28,2021-07-08
108,RFQ/-P Design-Build Detention Center Electronics,Texas,2021-06-28,2021-07-28
109,DHS Carlinville WO169953 - SP,Illinois,2021-06-28,2021-07-02
110,Sublet body repair for Ottawa Garage,Illinois,2021-06-28,2021-07-01
111,IFB - UPS and Generator ATS Maintenance and Repair Services,Illinois,2021-06-28,2021-07-20
